iter	Passed	Remaining
406	4389	6395
407	4396	6379
408	4405	6366
409	4413	6350
410	4423	6339
411	4432	6326
412	4449	6323
413	4460	6313
414	4473	6306
415	4482	6293
416	4492	6280
417	4499	6265
418	4509	6253
419	4518	6239
420	4526	6224
421	4533	6209
422	4542	6196
423	4550	6181
424	4561	6170
425	4570	6158
426	4577	6143
427	4586	6130
428	4594	6114
429	4604	6103
430	4618	6096
431	4625	6081
432	4632	6066
433	4641	6053
434	4648	6038
435	4658	6025
436	4665	6011
437	4676	5999
438	4685	5987
439	4695	5975
440	4705	5963
441	4712	5949
442	4721	5936
443	4728	5921
444	4738	5910
445	4747	5896
446	4755	5883
447	4763	5869
448	4774	5859
449	4782	5844
450	4790	5831
451	4797	5816
452	4807	5804
453	4814	5790
454	4822	5776
455	4829	5761
456	4839	5749
457	4846	5735
458	4855	5722
459	4863	5708
460	4876	5702
461	4888	5692
462	4902	5685
463	4917	5681
464	4925	5666
465	4934	5654
466	4941	5639
467	4950	5626
468	4957	5612
469	4967	5601
470	4975	5588
471	4986	5577
472	4994	5565
473	5006	5555
474	5015	5543
475	5023	5529
476	5033	5518
477	5040	5504
478	5049	5492
479	5057	5479
480	5068	5468
481	5075	5454
482	5085	5443
483	5093	5429
484	5101	5417
485	5109	5403
486	5118	5392
487	5126	5378
488	5135	5366
489	5143	5353
490	5152	5340
491	5159	5327
492	5170	5316
493	5177	5302
494	5186	5291
495	5195	5279
496	5202	5265
497	5210	5252
498	5219	5239
499	5227	5227
500	5234	5213
501	5242	5200
502	5250	5187
503	5258	5175
504	5266	5162
505	5275	5150
506	5282	5136
507	5290	5123
508	5299	5112
509	5308	5100
510	5319	5090
511	5333	5083
512	5347	5076
513	5355	5063
514	5364	5051
515	5374	5041
516	5384	5030
517	5394	5019
518	5402	5006
519	5411	4995
520	5420	4983
521	5432	4974
522	5442	4963
523	5449	4950
524	5459	4939
525	5466	4926
526	5476	4915
527	5483	4901
528	5495	4892
529	5502	4879
530	5512	4868
531	5522	4857
532	5530	4845
533	5539	4833
534	5546	4820
535	5556	4810
536	5563	4797
537	5572	4785
538	5580	4772
539	5590	4762
540	5599	4750
541	5608	4738
542	5615	4725
543	5624	4714
544	5632	4702
545	5641	4691
546	5649	4678
547	5658	4667
548	5666	4654
549	5677	4645
550	5686	4633
551	5694	4621
552	5701	4609
553	5710	4597
554	5719	4586
555	5727	4573
556	5735	4561
557	5743	4549
558	5754	4539
559	5770	4534
560	5783	4525
561	5795	4516
562	5807	4507
563	5815	4495
564	5825	4485
565	5832	4472
566	5841	4460
567	5849	4448
568	5858	4437
569	5870	4428
570	5879	4417
571	5889	4406
572	5897	4394
573	5907	4384
574	5915	4371
575	5928	4364
576	5937	4352
577	5947	4342
578	5960	4333
579	5971	4324
580	5979	4311
581	5989	4301
582	5997	4289
583	6007	4279
584	6018	4269
585	6027	4258
586	6038	4248
587	6045	4236
588	6056	4226
